date,killed,wounded,lat,lng,citycounty,state
5/31/2019,12,4,36.75442,-76.060378,Virginia Beach,Virginia
2/15/2019,5,6,41.753725,-88.331057,Aurora,Illinois
1/24/2019,3,1,40.785142,-77.839411,State College,Pennsylvania
1/23/2019,5,0,27.471042999999998,-81.45846999999999,Sebring,Florida
11/19/2018,3,0,41.847667,-87.62200899999999,Chicago,Illinois
11/7/2018,12,22,34.176946,-118.874793,Thousand Oaks,California
10/27/2018,11,6,40.443898,-79.921398,Pittsburgh,Pennsylvania
9/20/2018,3,3,39.455658,-76.208485,Perryman,Maryland
9/12/2018,5,0,35.349388,-118.916335,Bakersfield,California
9/6/2018,3,2,39.101981,-84.511782,Cincinnati,Ohio
6/28/2018,5,2,38.994547999999995,-76.543657,Annapolis,Maryland
5/18/2018,10,13,29.392825,-95.141972,Santa Fe,Texas
4/22/2018,4,4,36.052521,-86.61694399999999,Nashville,Tennessee
3/9/2018,3,0,38.392496,-122.366528,Yountville,California
2/14/2018,17,17,26.30483,-80.269511,Parkland,Florida
1/28/2018,4,1,40.052151,-79.389166,Melcroft,Pennsylvania
11/14/2017,5,10,40.018759,-122.39308899999999,Rancho Tehama,California
11/5/2017,26,20,29.273282000000002,-98.056488,Sutherland Springs,Texas
11/1/2017,3,0,39.876374,-104.98613200000001,Thornton,Colorado
10/18/2017,3,3,39.452189000000004,-76.309988,Edgewood,Maryland
10/1/2017,58,546,36.095739,-115.171544,Las Vegas,Nevada
6/14/2017,3,2,37.765947,-122.40608700000001,San Francisco,California
6/7/2017,3,0,41.529546,-75.94722,Tunkhannock,Pennsylvania
6/5/2017,5,0,28.580295,-81.294086,Orlando,Florida
5/12/2017,3,0,39.959034,-82.596508,Kirkersville,Ohio
4/18/2017,3,0,36.746378,-119.80031899999999,Fresno,California
1/6/2017,5,6,26.072751,-80.14338199999999,Fort Lauderdale,Florida
9/23/2016,5,0,48.461366999999996,-122.33791799999999,Burlington,Washington
7/17/2016,3,3,30.433601,-91.08140300000001,Baton Rouge,Lousiana
7/7/2016,5,11,32.780105199999994,-96.80000820000001,Dallas,Texas
6/12/2016,49,53,28.519718,-81.376777,Orlando,Florida
2/25/2016,3,14,38.135992,-97.425145,Hesston,Kansas
2/20/2016,6,2,42.236689,-85.67479499999999,Kalamazoo County,Michigan
12/2/2015,14,21,34.075961,-117.27788999999999,San Bernardino,California
11/27/2015,3,9,38.881031,-104.849057,Colorado Springs,Colorado
10/31/2015,3,0,38.83755,-104.814251,Colorado Springs,Colorado
10/1/2015,9,9,43.289538,-123.333193,Roseburg,Oregon
7/16/2015,5,2,35.047157,-85.311819,Chattanooga,Tennessee
6/17/2015,9,1,32.788387,-79.933143,Charleston,South Carolina
6/11/2015,3,1,44.204124,-88.467541,Menasha,Wisconsin
10/24/2014,5,1,48.050824,-122.176918,Marysville,Washington
5/23/2014,6,13,34.436283,-119.8714406,Santa Barbara,California
4/3/2014,3,12,31.141716,-97.777559,Fort Hood,Texas
2/20/2014,4,2,41.487103999999995,-120.54223700000001,Alturas,California
9/16/2013,12,8,38.874981,-76.99453000000001,Washington,D.C.
7/26/2013,7,0,25.864338,-80.311775,Hialeah,Florida
6/7/2013,6,3,34.008617,-118.494754,Santa Monica,California
4/21/2013,5,0,47.312960700000005,-122.3393665,Federal Way,Washington
3/13/2013,5,2,43.045601,-74.984891,Herkimer County,New York
12/14/2012,27,2,41.412322499999995,-73.31142358,Newtown,Connecticut
9/27/2012,7,1,44.977425,-93.310408,Minneapolis,Minnesota
8/5/2012,7,3,42.885850299999994,-87.86313620000001,Oak Creek,Wisconsin
7/20/2012,12,70,39.706038,-104.820594,Aurora,Colorado
5/20/2012,6,1,47.6038321,-122.3300624,Seattle,Washington
4/2/2012,7,3,37.8043808,-122.2708166,Oakland,California
2/21/2012,5,0,33.9412127,-84.2135309,Norcross,Georgia
10/12/2011,8,1,33.741176,-118.1046356,Seal Beach,California
9/6/2011,5,7,39.1637984,-119.76740339999999,Carson City,Nevada
1/8/2011,6,13,32.335941,-110.975132,Tucson,Arizona
8/3/2010,9,2,41.798764,-72.570068,Manchester,Connecticut
11/29/2009,4,1,47.152770000000004,-122.467308,Parkland,Washington
11/5/2009,13,30,31.135557000000002,-97.783664,Fort Hood,Texas
4/3/2009,14,4,42.099802000000004,-75.917723,Binghamton,New York
3/29/2009,8,3,35.333434000000004,-79.414592,Carthage,North Carolina
6/25/2008,6,1,37.76721,-87.55737420000001,Henderson,Kentucky
2/14/2008,5,21,41.9294736,-88.7503647,DeKalb,Illinois
2/7/2008,6,2,38.580093,-90.40691,Kirkwood,Missouri
12/5/2007,9,4,41.265719,-96.067495,Omaha,Nebraska
10/7/2007,6,1,45.571907200000005,-88.9028922,Crandon,Wisconsin
4/16/2007,32,23,37.2295733,-80.4139393,Blacksburg,Virginia
2/12/2007,6,4,40.7606467,-111.89108999999999,Salt Lake City,Utah
10/2/2006,6,5,39.9589,-76.0806,Lancaster County,Pennsylvania
3/25/2006,7,2,47.6229,-122.3165,Seattle,Washington
1/30/2006,8,0,34.425571000000005,-119.866069,Goleta,California
3/21/2005,10,5,47.876346000000005,-95.0169401,Red Lake,Minnesota
3/12/2005,7,4,43.0605671,-88.1064787,Brookfield,Wisconsin
12/8/2004,5,7,39.9622601,-83.00070649999999,Columbus,Ohio
7/8/2003,7,8,32.410841999999995,-88.634539,Meridian,Mississippi
2/5/2001,5,4,41.908163,-87.879908,Melrose Park,Illinois
12/26/2000,7,0,42.500429,-71.075913,Wakefield,Massachusetts
12/30/1999,5,3,27.966479,-82.57058599999999,Tampa,Florida
11/2/1999,7,0,21.320063,-157.876462,Honolulu,Hawaii
9/15/1999,8,7,32.664511,-97.38424599999999,Fort Worth,Texas
7/29/1999,9,13,33.850116,-84.377839,Atlanta,Georgia
4/20/1999,13,24,39.604034000000006,-105.07410300000001,Littleton,Colorado
5/21/1998,4,25,44.0462362,-123.02202890000001,Springfield,Oregon
3/24/1998,5,10,35.8209895,-90.6682606,Jonesboro,Arkansas
3/6/1998,5,1,41.685632500000004,-72.72983827,Newington,Connecticut
12/18/1997,5,2,33.787794399999996,-117.8531119,Orange,California
9/15/1997,4,3,33.5598586,-81.721952,Aiken,South Carolina
2/9/1996,6,1,26.119269,-80.104119,Fort Lauderdale,Florida
4/3/1995,6,0,27.828025,-97.548198,Corpus Christi,Texas
6/20/1994,5,23,47.61864486,-117.6483587,Fairchild Air Force Base,Washington
12/14/1993,4,1,39.675599,-104.84484499999999,Aurora,Colorado
12/7/1993,6,19,40.7267682,-73.6342955,Garden City,New York
8/6/1993,4,8,35.0529931,-78.87870579999999,Fayetteville,North Carolina
7/1/1993,9,6,37.792968,-122.397973,San Francisco,California
10/15/1992,5,0,42.3810555,-76.8705777,Watkins Glen,New York
5/1/1992,4,10,39.07868761,-121.54757620000001,Olivehurst,California
11/14/1991,5,5,42.4894801,-83.1446485,Royal Oak,Michigan
